id,pattern_detected,pattern_name,pattern_type,confidence_percentage,entry_point,take_profit,stop_loss,best_exit_time,order_id,pair,timeframe,image_name,description
1,0,,,,,,,,,EUR/USD,15 minutes,2016-05-05_10-00_to_2016-05-19_19-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-05-12_15-00_to_2016-05-27_00-45.png,
1,1,Double Bottom,Reversal,85,2023-05-30T04:15:00Z,1.12,1.11,2023-06-01T04:00:00Z,ORD123456,EUR/USD,15 minutes,2016-05-19_20-00_to_2016-06-03_05-45.png,Indicators suggest a reversal in the downtrend observed in the previous period.
1,0,,,,,,,,,EUR/USD,15 minutes,2016-05-27_01-00_to_2016-06-10_10-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-06-03_06-00_to_2016-06-17_15-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-06-10_11-00_to_2016-06-24_20-45.png,
1,1,Head and Shoulders,Reversal,85,2023-06-23T20:00:00Z,1.105,1.12,2023-06-24T20:00:00Z,ORD123456,EUR/USD,15 minutes,2016-06-17_16-00_to_2016-07-04_01-45.png,Indicates a possible reversal at the peak around June 23.
1,0,,,,,,,,,EUR/USD,15 minutes,2016-06-26_21-00_to_2016-07-11_06-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-07-04_02-00_to_2016-07-18_11-45.png,
1,1,Head and Shoulders,Reversal,85,2023-07-17T05:30:00Z,1.1,1.112,2023-07-18T05:30:00Z,ORD654321,EUR/USD,15 minutes,2016-07-11_07-00_to_2016-07-25_16-45.png,Potential reversal trend post a peak at 1.115. Consider monitoring further price action for confirmation.
1,0,,,,,,,,,EUR/USD,15 minutes,2016-07-18_12-00_to_2016-08-01_21-45.png,
29,0,,,,,,,,,EUR/USD,15 minutes,2016-07-25_17-00_to_2016-08-09_02-45.png,
30,0,,,,,,,,,EUR/USD,15 minutes,2016-08-01_22-00_to_2016-08-16_07-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-08-09_03-00_to_2016-08-23_12-45.png,
32,0,,,,,,,,,EUR/USD,15 minutes,2016-08-16_08-00_to_2016-08-30_17-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-08-23_13-00_to_2016-09-06_22-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-08-30_18-00_to_2016-09-14_03-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-09-06_23-00_to_2016-09-21_08-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-09-14_04-00_to_2016-09-28_13-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-09-21_09-00_to_2016-10-05_18-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-09-28_14-00_to_2016-10-12_23-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-10-05_19-00_to_2016-10-20_04-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-10-13_00-00_to_2016-10-27_09-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-10-20_05-00_to_2016-11-03_14-45.png,
42,0,,,,,,,,,EUR/USD,15 minutes,2016-10-27_10-00_to_2016-11-10_20-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-11-03_15-00_to_2016-11-18_01-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-11-10_21-00_to_2016-11-25_06-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-11-18_02-00_to_2016-12-02_11-45.png,
1,1,Head and Shoulders,Reversal,85,2023-12-07T09:00:00Z,1.06,1.08,2023-12-08T09:00:00Z,ORD00001,EUR/USD,15 minutes,2016-11-25_07-00_to_2016-12-09_16-45.png,Possible trend reversal indicated by head and shoulders formation.
1,0,,,,,,,,,EUR/USD,15 minutes,2016-12-02_12-00_to_2016-12-16_21-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-12-09_17-00_to_2016-12-27_03-45.png,
49,0,,,,,,,,,EUR/USD,15 minutes,2016-12-18_22-00_to_2017-01-04_09-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-12-27_04-00_to_2017-01-11_14-45.png,
